X,Y,Z
522485.3878,5244617.388,210
522485.3878,5245193.327,279
522485.3878,5245769.265,305
522485.3878,5246345.204,375
522485.3878,5246921.143,322
522485.3878,5247497.082,342
522485.3878,5248073.02,441
522485.3878,5248648.959,240
522485.3878,5249224.898,321
522485.3878,5249800.837,200
522485.3878,5250376.776,217
522485.3878,5250952.714,206
522485.3878,5251528.653,257
522485.3878,5252104.592,297
522485.3878,5252680.531,206
522485.3878,5253256.469,184
522485.3878,5253832.408,156
522485.3878,5254408.347,163
522485.3878,5254984.286,195
522485.3878,5255560.224,160
522485.3878,5256136.163,93
522485.3878,5256712.102,44
522485.3878,5257288.041,25
522485.3878,5257863.98,12
522485.3878,5258439.918,3
522485.3878,5259015.857,0
522485.3878,5259591.796,0
522485.3878,5260167.735,0
522485.3878,5260743.673,0
522485.3878,5261319.612,0
522485.3878,5261895.551,0
522485.3878,5262471.49,3
522485.3878,5263047.429,0
522485.3878,5263623.367,12
522485.3878,5264199.306,74
522485.3878,5264775.245,54
522485.3878,5265351.184,33
522485.3878,5265927.122,19
522485.3878,5266503.061,9
522485.3878,5267079,20
523094.0204,5238858,40
523094.0204,5239433.939,81
523094.0204,5240009.878,87
523094.0204,5240585.816,77
523094.0204,5241161.755,63
523094.0204,5241737.694,77
523094.0204,5242313.633,122
523094.0204,5242889.571,111
523094.0204,5243465.51,60
523094.0204,5244041.449,168
523094.0204,5244617.388,186
523094.0204,5245193.327,250
523094.0204,5245769.265,315
523094.0204,5246345.204,236
523094.0204,5246921.143,340
523094.0204,5247497.082,365
523094.0204,5248073.02,389
523094.0204,5248648.959,302
523094.0204,5249224.898,170
523094.0204,5249800.837,242
523094.0204,5250376.776,139
523094.0204,5250952.714,154
523094.0204,5251528.653,216
523094.0204,5252104.592,256
523094.0204,5252680.531,238
523094.0204,5253256.469,191
523094.0204,5253832.408,178
523094.0204,5254408.347,90
523094.0204,5254984.286,114
523094.0204,5255560.224,127
523094.0204,5256136.163,78
523094.0204,5256712.102,50
523094.0204,5257288.041,35
523094.0204,5257863.98,16
523094.0204,5258439.918,8
523094.0204,5259015.857,0
523094.0204,5259591.796,0
523094.0204,5260167.735,0
523094.0204,5260743.673,0
523094.0204,5261319.612,7
523094.0204,5261895.551,0
523094.0204,5262471.49,5
523094.0204,5263047.429,0
523094.0204,5263623.367,7
523094.0204,5264199.306,56
523094.0204,5264775.245,67
523094.0204,5265351.184,37
523094.0204,5265927.122,27
523094.0204,5266503.061,20
523094.0204,5267079,44
523702.6531,5238858,26
523702.6531,5239433.939,41
523702.6531,5240009.878,53
523702.6531,5240585.816,70
523702.6531,5241161.755,63
523702.6531,5241737.694,70
523702.6531,5242313.633,66
523702.6531,5242889.571,90
523702.6531,5243465.51,69
523702.6531,5244041.449,81
523702.6531,5244617.388,155
